spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
0,1.93,2,2.5,3.5,2.7,2024-11-09T15:00:00.000Z,8678,9937,False,2,3,0,1.6,1.54,13.6,4.2,44.8,3.0,25.8,0.8,1.088,11.4,3.6,55.2,2.2,26.4,2.0,0.118,0.381,0.07,0.222,2.4,2.034,12.0,5.6,49.6,3.8,24.4,2.2,1.204,19.2,7.4,50.4,2.0,34.8,1.4,0.2,0.429,0.115,0.297
0.25,1.93,2,2.7,3.5,2.55,2024-11-09T15:00:00.000Z,9826,9879,True,0,2,0,1.4,1.664,15.0,5.0,56.2,2.4,29.2,1.6,1.086,12.0,4.0,43.8,1.0,25.0,1.4,0.093,0.28,0.133,0.4,0.8,1.17,15.8,6.0,43.8,1.6,23.0,1.2,1.262,13.2,4.2,56.2,2.8,25.0,0.8,0.051,0.133,0.091,0.286
-0.25,1.87,2.06,2.15,3.4,3.4,2024-11-09T15:00:00.000Z,8668,8654,False,0,0,1,1.0,1.13,10.6,4.4,38.4,2.0,20.0,0.6,1.25,13.4,3.0,61.6,1.2,28.4,1.6,0.094,0.227,0.045,0.2,1.6,1.738,13.8,5.0,45.6,3.2,25.2,2.0,1.49,15.2,4.6,54.4,2.6,29.2,1.4,0.116,0.32,0.132,0.435
-0.5,1.94,1.99,1.91,3.75,3.75,2024-11-09T15:00:00.000Z,8466,8602,False,0,2,0,1.0,0.87,9.0,3.2,50.2,1.6,17.8,2.0,2.384,19.8,5.8,49.8,3.2,42.8,0.6,0.111,0.312,0.101,0.345,1.8,1.108,10.6,4.8,45.8,1.8,20.8,2.6,2.446,17.8,7.6,54.2,3.4,46.4,0.4,0.17,0.375,0.146,0.342
0,1.73,2.08,2.4,3.6,2.8,2024-11-23T15:00:00.000Z,8678,10204,True,1,2,0,1.8,1.498,12.6,4.8,44.6,3.8,23.6,1.4,1.718,15.8,6.0,55.4,3.0,33.4,2.0,0.143,0.375,0.089,0.233,1.4,1.788,13.8,3.6,46.4,3.4,27.2,1.2,1.264,12.0,4.2,53.6,2.4,29.0,1.4,0.101,0.389,0.1,0.286
-1.25,1.98,1.95,1.38,4.75,9,2024-11-23T15:00:00.000Z,9825,10203,True,3,0,2,1.8,1.432,16.8,5.8,43.4,3.2,27.4,1.0,1.204,14.8,4.8,56.6,1.2,28.6,2.0,0.107,0.31,0.068,0.208,1.2,1.406,13.4,2.8,54.0,2.6,34.0,1.4,1.068,11.2,3.4,46.0,1.8,20.4,1.0,0.09,0.429,0.125,0.412
-0.75,1.99,1.94,1.62,4,5.5,2024-11-23T15:00:00.000Z,10252,9826,True,2,2,1,0.6,1.284,15.0,6.0,39.0,2.2,20.0,1.2,1.45,15.0,5.2,61.0,3.2,28.2,0.8,0.04,0.1,0.08,0.231,1.0,1.446,13.4,3.4,49.2,2.8,25.8,1.6,1.422,12.0,4.4,50.8,2.2,20.8,1.0,0.075,0.294,0.133,0.364
-0.25,2.06,1.87,2.45,3.4,2.88,2024-11-23T15:00:00.000Z,9937,8668,False,0,0,1,2.8,2.256,12.8,6.2,48.6,4.0,25.8,2.4,1.528,18.4,7.4,51.4,2.4,33.8,1.8,0.219,0.452,0.13,0.324,0.6,1.174,12.6,4.8,40.6,1.8,22.0,0.4,1.226,12.2,3.2,59.4,1.4,26.0,1.2,0.048,0.125,0.033,0.125
-1,1.94,1.99,1.62,4,5.25,2024-11-23T15:00:00.000Z,9879,8602,True,1,4,0,2.0,1.234,10.6,5.0,42.6,1.8,21.0,2.2,2.07,17.6,6.4,57.4,3.0,42.6,1.0,0.189,0.4,0.125,0.344,1.6,1.764,15.6,6.0,57.2,2.8,30.8,1.6,1.23,12.4,4.8,42.8,1.8,21.6,1.4,0.103,0.267,0.129,0.333
0,1.98,1.92,2.8,3.6,2.4,2024-11-30T15:00:00.000Z,8678,8602,False,4,2,2,1.6,1.682,13.8,4.2,46.2,3.2,28.2,1.4,1.294,12.0,4.6,53.8,2.4,29.2,1.4,0.116,0.381,0.117,0.304,2.2,1.288,9.2,4.8,39.6,2.0,19.4,1.4,1.426,15.8,4.6,60.4,1.6,38.0,1.6,0.239,0.458,0.089,0.304
