index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
192,30/12/2023,Wolves,Everton,3,0,2.63,3.3,2.7,0,2.1,1.83
193,30/12/2023,Nott'm Forest,Man United,2,1,3.2,3.6,2.15,0.25,1.99,1.94
194,31/12/2023,Fulham,Arsenal,2,1,5.25,4.5,1.55,1,1.89,2.04
195,31/12/2023,Tottenham,Bournemouth,3,1,1.75,4.2,4,-0.75,1.98,1.95
196,01/01/2024,Liverpool,Newcastle,4,2,1.45,4.5,7,-1.5,2.01,1.92
197,02/01/2024,West Ham,Brighton,0,0,2.45,3.75,2.75,0.25,1.94,1.99
198,12/01/2024,Burnley,Luton,1,1,2,3.6,3.6,-0.25,1.87,2.03
199,13/01/2024,Chelsea,Fulham,1,0,1.6,4.2,5.25,-1,2.11,1.82
200,13/01/2024,Newcastle,Man City,2,3,5.5,4.33,1.55,0.75,2.04,1.89
201,14/01/2024,Everton,Aston Villa,0,0,2.8,3.5,2.45,0,1.88,2.05
202,14/01/2024,Man United,Tottenham,2,2,2.2,3.75,3,-0.5,2.04,1.89
203,20/01/2024,Arsenal,Crystal Palace,5,0,1.3,5.75,9,-1.5,1.78,2.03
204,20/01/2024,Brentford,Nott'm Forest,3,2,1.91,3.6,4,-0.75,1.99,1.91
205,21/01/2024,Sheffield United,West Ham,2,2,3.4,3.3,2.2,0,2.02,1.91
206,21/01/2024,Bournemouth,Liverpool,0,4,4.2,4.5,1.7,0.75,2.03,1.9
207,22/01/2024,Brighton,Wolves,0,0,1.65,4.33,5,-0.75,1.84,2.09
208,30/01/2024,Nott'm Forest,Arsenal,1,2,7.5,5,1.4,1.5,1.78,2.03
209,30/01/2024,Fulham,Everton,0,0,2.45,3.2,3,-0.25,1.93,2
210,30/01/2024,Luton,Brighton,4,0,4.2,4.2,1.75,0.75,1.78,2.03
211,30/01/2024,Crystal Palace,Sheffield United,3,2,1.62,3.6,6.5,-1,2.11,1.82
212,30/01/2024,Aston Villa,Newcastle,1,3,1.85,4,3.8,-0.5,1.85,2.08
213,31/01/2024,Man City,Burnley,3,1,1.08,12,21,-2.5,2,1.8
214,31/01/2024,Tottenham,Brentford,3,2,1.67,4.2,4.75,-1,2,1.9
215,31/01/2024,Liverpool,Chelsea,4,1,1.57,4.33,5.25,-1,2.06,1.84
216,01/02/2024,West Ham,Bournemouth,1,1,2.4,3.75,2.75,-0.25,2.05,1.75
217,01/02/2024,Wolves,Man United,3,4,2.63,3.6,2.55,0.25,1.83,2.1
218,03/02/2024,Everton,Tottenham,2,2,3,3.6,2.25,0.25,1.92,2.01
219,03/02/2024,Brighton,Crystal Palace,4,1,1.7,4,4.75,-0.75,1.95,1.98
220,03/02/2024,Burnley,Fulham,2,2,2.9,3.4,2.38,0,2.1,1.83
221,03/02/2024,Newcastle,Luton,4,4,1.44,4.75,6.5,-1,1.91,2.02
222,03/02/2024,Sheffield United,Aston Villa,0,5,5.25,4.2,1.62,1,1.82,2.11
223,04/02/2024,Bournemouth,Nott'm Forest,1,1,1.7,4.2,4.5,-0.75,1.83,2.1
224,04/02/2024,Chelsea,Wolves,2,4,1.62,4,5.5,-1,1.88,2.05
225,04/02/2024,Man United,West Ham,3,0,1.62,4.2,5,-1,1.9,2.03
226,04/02/2024,Arsenal,Liverpool,3,1,2.2,3.6,3.1,-0.25,1.92,2.01
227,05/02/2024,Brentford,Man City,1,3,7,4.75,1.4,1.5,1.75,2.05
228,10/02/2024,Man City,Everton,2,0,1.18,8,13,-1.75,2.04,1.89
229,10/02/2024,Fulham,Bournemouth,3,1,2.38,3.5,2.8,0,1.92,2.01
230,10/02/2024,Liverpool,Burnley,3,1,1.17,8,17,-2.25,1.99,1.94
231,10/02/2024,Luton,Sheffield United,1,3,1.75,3.75,4.75,-0.75,1.94,1.99
